Item_Name,Current_Stock,Daily_Usage_Base,Expiry_Date,Category
Artemether/Lumefantrine (Adult),450,25,2026-10-15,Antimalarial
Artemether/Lumefantrine (Pediatric),200,15,2026-08-20,Antimalarial
Blood Bag - Type O+,12,4,2026-02-28,Blood Products
Blood Bag - Type B+,5,2,2026-03-05,Blood Products
Paracetamol 500mg (Pack),1200,50,2027-01-10,Analgesic
IV Normal Saline (500ml),300,20,2026-12-01,Fluids
Amoxicillin 500mg,800,30,2026-06-15,Antibiotic
Surgical Gloves (Pairs),2500,100,2028-05-20,Consumables
Insulin (Rapid Acting),45,5,2026-04-12,Chronic Care
Metformin 500mg,600,20,2026-11-30,Chronic Care
Rapid Diagnostic Test (RDT) Kits,150,40,2026-07-01,Diagnostics
Oxytocin Injection,80,8,2026-05-22,Maternal Care
Vitamin A Capsules,1000,10,2027-03-15,Supplements
Ceftriaxone 1g Injection,120,12,2026-09-09,Antibiotic
Hand Sanitizer (500ml),60,3,2027-12-25,Consumables
Gauze Roll (Large),100,5,2029-01-01,Consumables
Syringes (5ml),5000,150,2028-10-10,Consumables
Ciprofloxacin 500mg,400,15,2026-08-30,Antibiotic
ORS (Oral Rehydration Salts),900,35,2026-12-15,Fluids
Blood Bag - Type A-,2,1,2026-02-15,Blood Products
